No,Name,Address,Class,District,Longitude,Latitude,Pop,Envi_Fact
620,RS Islam Kendal,"Jl. Ar.Rahmah No.17 Weleri,Kendal",,Kendal,110.067456,-6.923570401,0.149747,0.687845
621,RSU Bhakti Waluyo,"Ds Sukorejo,Warungasem,Batang",,Batang,109.6959014,-6.90318785,1.420647,0.028113
622,RS Islam Moga,"Jl. Raya Moga Pulosari,Pemalang",,Pemalang,109.4125345,-6.901417587,0.183843,0.306322
623,RS Islam Al-Ikhlas,"Jl. Kol.Soegiono No.13,Pemalang",,Pemalang,109.4114687,-6.904084129,0.183843,0.306322
624,RS Telogorejo Semarang,Jl. KH. Ahmad Dahlan Semarang,,Kota Semarang,110.42665,-6.988276416,0.379859,0.243285
625,RSU PKU Muhammdiyah DI,"Jl. Raya Delanggu Utara No.19,Delanngu",,Klaten,110.6987577,-7.61951568,1.111187,0.307841
626,RS Mardi Lestari Sragen,"Jl. Rokan No.8,Sragen",,Sragen,111.0176325,-7.428090931,0.017491,0.391054
627,RS Brayat Minulya,Jl. Dr. Setiabudi Surakarta,,Kota Surakarta,110.8139987,-7.552709428,0.286602,0.464075
628,RS Keluarga Sehat,"Jl. P. Sudirman No.9, Mrgorejo - Pati",,Jateng,111.0329227,-6.751462478,0.213381,0.265865
629,RS Pertamina Cilacap,"Jl. Dr.Setiabudi Tegal Katilayu, Cilacap",,Cilacap,109.0415194,-7.702477255,0.687832,0
630,RSU Emmanuel,Jl. Raya Klampok Banjarnegara,,Banjarnegara,109.6163154,-7.379437679,0.101417,0.801818
631,RS PKU Muhammadiyah Sruweng,Jl. Raya Sruweng No.5 Sruweng Kebumen,,Kebumen,109.6093681,-7.663005292,0.722013,0.978762
632,RSU Triharsi,"Jl. Monginsidi No.82,Surakarta",,Surakarta,110.8259982,-7.55740932,3.011302,0.466676
633,RS Islam Banjarnegara,Jl. Raya Bawang Banjarnegara,,Banjarnegara,109.6161058,-7.401416588,0.931193,0.841199
634,RS Santa Elizabeth,Jl. Gatot Subroto 44 Purwokerto,,Banyumas,109.2937128,-7.525459861,1.084701,0.978751
635,RSU Bunda,Jl. Pramuka No. 249 Purwokerto,,Banyumas,109.2949212,-7.528572314,0.675715,0.978751
636,RS Sinar Kasih,Jl. Martadireja II Purwokerto,,Banyumas,109.2551639,-7.428519004,2.018255,0.008268
637,RSU Wishnu Husada,"Jl. Raya Notog Mt.200,Patikraja - Banyumas",,Banyumas,109.2161824,-7.49342122,0.133365,0.985216
638,RSU Harapan Ibu,"Jl. May.Jend.Soengkono KM.1,Purbalingga",,Purbalingga,109.3613262,-7.390358017,1.589821,0.760476
639,RS Purbowangi,Jl. Yos Sudarso Barat Gombong,,Kebumen,109.4859982,-7.60999104,0.615281,0.983482
640,RS Panti Waluyo Yakkum Purworejo,Jl. Ahmad Yani No. 21 Purworejo,,Purworejo,110.0167471,-7.712773319,0.909706,0.843678
641,RSU PKU Muhammadiyah Purworejo,"Jl. Brigjend Katamso No.144-A, Purworejo",,Purworejo,110.0024958,-7.731523839,0.499038,0.977989
642,RS Palang Biru Kutoarjo,"Jl. Marditomo No.17,Kutoarjo,Kab.Purworejo",,Purworejo,109.9089261,-7.722369305,0.800541,0.890386
643,RSI Al-Amin,"Jl. Raya Boyolali-Solo, Boyolali",,Boyolali,110.6202196,-7.56509681,0.611554,0.634811
644,RS Dr. Oen Sawit,"Ds Keteguhan,Sawit,Boyolali",,Boyolali,110.8697241,-7.590277354,0.092452,0.393503
645,RS PKU Aisyiyah Boyolali,Jl. Pasar Sapi Baru Singkil - Karanggeneng - Boyolali,,Boyolali,110.6077207,-7.518298545,0.534231,0.620565
646,RS Umi Barokah,"Jl.Prof.DR.Soeharso No.6 Tegal Rejo,Boyolali",,Boyolali,110.5952129,-7.51554282,1.019257,0.609994
647,RS Karanggede Sisma Medika,"Jl. Raya Karanggede - Solo KM.1, Boyolali",,Boyolali,110.6202196,-7.56509681,0.611554,0.634811
648,RS Cakra Husada,"Jl. Merbabu No. 7,Klaten",,Klaten,110.5946555,-7.709107938,1.814938,0.317882
649,RSU Nirmala Suri,"Jl. Raya Solo Sukoharjo Km.9, Sukoharjo",,Sukoharjo,110.8352017,-7.653355798,1.167379,0.702518
650,RS Muhammadiyah Wonogiri,"Jl. Lama Nambangan Selogiri, Wonogiri",,Wonogiri,110.8837034,-7.759540371,0.574635,0.670488
651,RS Amal Sehat,"Jl. Ngerjopuro RT.02/RW.03,Slogohimo Wonogiri",,Wonogiri,110.9239824,-7.814146522,1.166256,0.419604
652,RS Muhammadiyah Gubug,"Jl. Letjen Suprapro No.12,Purwodadi",,Grobogan,110.6670089,-7.060669922,1.817481,0.638721
653,RS PPT Migas Cepu,"Jl. Diponegoro No.9,Cepu",,Blora,111.5936904,-7.142565772,2.070136,0.246482
654,RS PKU Muhammadiyah Cepu,"Jl. Ronggolawe No.137,Cepu",,Blora,111.4512578,-6.971973943,0.556494,0.377969
655,RS Mardi Rahayu,"Jl. AKBP R Agil 110,Kudus",,Kudus,110.8312733,-6.830054134,1.955414,0.331221
656,RS Islam Jepara,"Jl. Jepara-Bangsri KM.3,Jepara",,Jepara,110.6821922,-6.577365795,1.359568,0
657,RS Graha Husada,"Jl. MH.Thamrin No.14,Jepara",,Jepara,110.6712272,-6.596348188,1.939384,0
658,RS Islam NU Demak,"Jl. Jogoloyo No.9,Demak",,Demak,110.6387828,-6.919057791,0.184409,0.333039
659,RSU Bina Kasih,"Jl. Naryo Atmajan 24,Ambarawa",,Semarang,110.3782019,-7.271928753,0.892376,0.285685
660,RS Siti Asiyah,Jl. Pasar Wage Bumiayu Brebes,,Brebes,109.0065021,-7.244059371,1.571016,0.887825
661,RS Islam Siti Aminah,Jl. Raya 155 Bumiayu Brebes,,Brebes,109.007385,-7.257084405,0.243693,0.897025
662,RSU Lestari Raharja,"Jl. Sutopo No.5,Magelang",,Kota Magelang,110.2163409,-7.479040619,2.774942,0.731382
663,RS Harapan,"Jl. Senopati No.11,Magelang",,Kota Magelang,110.2173755,-7.479638139,2.774942,0.731382
664,RS Islam Magelang,"Jl. Jeruk No.4 A , Kota Magelang",,Kota Magelang,110.2256293,-7.457735034,0.811594,0.728521
665,RS Islam Surakarta,"Jl. Ahmad Yani, Kertasura, Pabelan,Sukoharjo",,Surakarta,110.7709416,-7.55894771,2.340596,0.326975
666,RSU Panti Wilasa I,"Jl. Citarum 98,Semarang",,Kota Semarang,110.4344846,-6.973160064,4.107022,0.368504
667,RS Banyumanik,"Jl. Bina Remaja Srondol No.61,Semarang",,Kota Semarang,110.4165546,-7.05155106,3.571324,0.341579
668,RS Siti Khodijah,"Jl. Bandung No.39-47,Pekalongan",,Kota Pekalongan,109.6767184,-6.886831867,3.100835,0.326475
669,RS Karomah Holistic,"Jl. Gajah Mada Barat No.124,Pekalongan",,Kota Pekalongan,109.6524876,-6.889618806,1.626139,0.322951
670,RSU Asy-Syifa Sambi,"Jl. Raya Bangak-Simo Km 7, Sambi, Boyolali",0,,110.5934427,-7.517290788,1.019257,0.609994
671,RS Islam Arafah,"Jl. Raya Rembang - Lasem Km.5 Tritunggal, Rembang",0,,111.3420321,-6.704173711,1.180128,0.054683
672,Rumkit Tk II Dr. Soedjono,"Jl. Urip Sumoharjo 48, Magelang",2,Kota Magelang,110.2268065,-7.468352154,0.832438,0.071139
673,Rumkit Tk III Wijayakusuma,Jl. Prof.Dr. HR Bunyamin Purwokerto,3,Banyumas,109.1404401,-7.483214338,0.080019,0.981372
674,RS Lanuma Adisumarmo,Lanuma Adisumarmo Surakarta,3,Karanganyar,110.7383724,-7.531408302,1.251227,0.303667
675,Rumkinban Pati,Jl. P. Sudirman No.77 Pati,3,Pati,111.0329227,-6.751462478,0.213381,0.265865
676,Rumkit Tk.III Bhakti Wira Tamtama Smg,"Jl. Dr. Sutomo No.17,Semarang",3,Kota Semarang,110.4079574,-6.98711705,3.506391,0.420025
677,RS Akabri Pol Semarang,"Jl. Majapahit No.140,Semarang",4,Kota Semarang,110.4676024,-7.009613215,3.960923,0.230838
678,Rumkitban Blora,"Jl. Dr. Sutomo No.45, Blora",4,Blora,111.418684,-6.966689908,1.861063,0.403055
679,Rumkitban Kudus,"Jl. P. Sudirman No.64, Kudus",4,Kudus,110.849997,-6.805355173,3.373778,0.023674
680,Rumkit Tk IV Slamet Riyadi Surakarta,"Jl. Slamet Riyadi 321,Surakarta",4,Surakarta,110.8099409,-7.566568314,2.879228,0.268793
681,Rumkit Tk. IV Salatiga,Jl. Dr Muwardi Salatiga,4,Salatiga,110.8420019,7.558938792,0.291885,0.434035
682,Rumkit Tk.IV Tegal,Jl. Raya Pagongan Tegal,4,Kota Tegal,109.1344872,-6.911776079,1.944168,0.396057
683,RSU Dr. Kariadi,"Jl. Dr. Soetomo No.16,Semarang",A,Kota Semarang,110.4069987,-6.994612799,3.717423,0.450292
684,RSU Dr. Moewardi Surakarta,"Jl. Kol Sutarto 132,Surakarta",A,Surakarta,110.837302,-7.535220833,2.799983,0.303601
685,RSU Tidar,"Jl. Tidar No.30 A, Magelang",B,Kota Magelang,110.2237029,7.500542404,4.659502,0.729758
686,RS St. Elisabeth Semarang,"Jl. Kawi No.1,Semarang",B,Kota Semarang,110.4179993,-7.007990102,0.365249,0.176226
687,RSUD Tugurejo Semarang,"Jl. Raya Tugurejo,Semarang",B,Kota Semarang,110.3725433,-6.996614935,0.370119,0
688,RS Islam Klaten,"Jl. Raya Klaten Solo KM 4,Klaten",B,Klaten,110.636201,-7.686500296,1.305645,0.240954
689,RS Dr.Oen,"Jl. Brigjend Katamso 55,Surakarta",B,Kota Surakarta,110.8390009,-7.555099506,0.291885,0.300165
690,RSUD Sragen,"Jl. Raya Sukowati No.534,Sragen",B,Sragen,111.0391878,-7.418543995,0.805025,0.366391
691,RSUD RAA Soewondo,"Jl. Dr Soesanto 114,Pati",B,Pati,111.043366,-6.738437443,0.885732,0.308623
692,RSU Dr. R.Soedjati Soemodiardjo,"Jl. D.I Panjaitan 36,Purwodadi",B,Grobogan,110.9147967,-7.08320176,1.724752,0.300121
693,RSU Cilacap,Jl. Gatot Subroto 28 Cilacap,B,Cilacap,109.0151438,-7.717259175,1.694761,0
694,RSUP Dr.Suraji Tirtonegoro Klaten,"Jl. Dr. Soeraji T No.1,Klaten",B,Klaten,110.5881453,-7.715176775,1.639001,0.317882
695,RSUD Dr. Soediran MS Wonogiri,"Jl. Jend A Yani No. 40,Wonogiri",B,Wonogiri,110.9238977,-7.813745203,0.361375,0.419604
696,RS Sultan Agung Semarang,"Jl. Raya Kaligawe Km.4,Semarang",B,Kota Semarang,110.4609984,-6.95561796,3.457691,0.205416
697,RSU Dr. H.RM Soeselo W,"Jl. Dr. Sutomo No.63,Slawi",B,Jateng,109.1404981,-6.983509637,2.665589,0.385881
698,RSUD Banyumas,Jl. Rumah Sakit No.1 Banyumas,B,Banyumas,109.2920005,-7.530240017,0.675715,0.975288
699,RSUD Prof Dr. M Soekarjo,Jl. Dr Gumbreg No. 1 Purwokerto,B,Banyumas,109.2474452,-7.431653752,1.929345,0.841103
700,RSUD Saras Husada Purworejo,Jl. Jen Sudirman No.60 Purworejo,B,Purworejo,109.9964761,-7.719618039,0.639393,0.894618
701,RSUD Sujoharjo,"Jl. Dr Muwardi 71,Sukoharjo",B,Sukoharjo,110.8522444,-7.680761433,0.956043,0.334979
702,RSUD Kudus,"Jl. Dr. Lukmonohadi No.19,Kudus",B,Kudus,110.8359598,-6.819758069,2.161972,0.305643
703,RSU R.A. Kartini,Jl. K.H. Wahid Hasyim Jepara,B,Jepara,110.6748926,-6.597320272,1.959377,0
704,RSUD Kota Semarang,"Jl. Fatmawati Raya No.1,Semarang",B,Kota Semarang,110.4642625,-7.037420169,2.845448,0.254881
705,RSUD Kardinah,"Jl. KS Tubun No.4,Tegal",B,Kota Tegal,109.1357536,-6.88463799,3.427631,0.382465
706,RS PKU Muhammadiyah,"Jl. Raya Kedu Km.2,Temanggung",C,Temanggung,110.1733731,-7.291365974,0.531335,0.523758
707,RSUD Kab. Batang,"Jl. Dr Sutomo No. 42,Batang",C,Batang,109.7194232,-6.914678953,1.639208,0.421212
708,RSUD Kajen Kab.Pekalongan,Jl. Raya Karangsari Karanganyar,C,Pekalongan,110.4461541,-6.988967577,3.977156,0.357754
709,RSU Brebes,"Jl. Jend.Sudirman No.181,Brebes",C,Brebes,109.0463799,-6.874685276,2.857517,0.367758
710,RSU Dr. R. Soetrasno Rembang,"Jl. Pahlawan No.16,Rembang",C,Rembang,111.3420321,-6.704191547,1.180128,0.054683
711,RSU Roemani,"Jl. Wonodri 2 No. 22,Semarang",C,Kota Semarang,110.4259321,-7.002220025,3.928456,0.500948
712,RS PKU Muhammadiyah,"Jl. Ronggowarsito 130,Surakarta",C,Surakarta,110.3620019,-7.800599773,4.885559,0.424301
713,RS Dr. R. Soeprapto Cepu,"Jl. Ronggolawe No. 50,Cepu",C,Blora,111.5947739,-7.148540967,2.070136,0.248585
714,RS Dr. R. Soetijono Blora,"Jl. Dr Sutomo No. 42,Blora",C,Blora,111.4211678,-6.971140091,0.967023,0.403055
715,RSUD Majenang,Jl. Dr. Soetomo No. 54 Majenang,C,Cilacap,109.0213554,-7.729343339,0.886381,0
716,RS Islam Wonosobo,"Jl. Mayjend Bambang S Mendolo,Wonosobo",C,Wonosobo,109.927418,-7.368677868,1.404804,0.060789
717,RS Dr.Oen Solo Baru,Komplek Perumahan Solo Baru Kec.Grogol Sukoharjo,C,Sukoharjo,110.85529,-7.648348227,0.483053,0.730992
718,RSI PKU Muhammadiyah Pekajangan,"Jl. Raya Ambokembang No.42-44,Pekalongan",C,Pekalongan,109.6242258,-7.042467871,0.057854,0.008341
719,RSU Dr. M Ashasi Pemalang,"Jl. Gatot Subroto No.41,Pemalang",C,Pemalang,109.3828146,-6.910964522,2.459522,0.351809
720,RS Islam PKU Muhammadiyah,Jl. Singkil Km.5 Kab.Tegal,C,Tegal,109.1333323,-6.866667812,3.840783,0.050618
721,RSUD Pandan Arang Boyolali,"Jl. Kantil No. 14, Boyolali",C,Boyolali,110.590513,-7.532995742,0.857582,0.579821
722,RS Santa Maria Pemalang,"Jl. Pemuda No. 24,Pemalang",C,Pemalang,109.3602114,-6.872339789,0.913482,0
723,RS Islam Fatimah,Jl. Ir.H.Juanda No.20 Cilacap,C,Cilacap,109.0239996,-7.692149977,0.114875,0.914481
724,RSUD Djojonegoro Temanggung,"Jl. Dr. Sutomo No.67,Temanggung",C,Temanggung,110.178617,-7.315012587,2.086699,0.455805
725,RS Permata Medika,"Jl. Moch Ichsan No.93 - 97, Ngaliyah Semarang",C,Jateng,110.4166661,-6.966667613,3.960923,0.020249
726,RSU Wonosobo,"Jl. Rumah Sakit No.1,Wonosobo",C,Wonosobo,109.9054836,-7.351398852,1.804712,0.061094
727,RS Islam Harapan Anda,"Jl. Ababil No.42,Tegal",C,Kota Tegal,109.1310002,-6.877182373,3.718368,0.054695
728,RS Islam Purwokerto,Jl. H Masyhusri Purwokerto,C,Banyumas,109.1310002,-6.877160077,3.718368,0.054695
729,RSUD Purbalinnga,Jl. Tentara Pelajar Purbalingga,C,Purbalingga,109.3619995,-7.384632532,1.589821,0.798804
730,RS Nirmala,"Jl. Letnan Yusuf Babakan, Kalimanah Purbalingga",C,Purbalingga,109.3427183,-7.387143006,1.372578,0.844956
731,RSUD Kebumen,Jl. Rumah Sakit No.13 Kebumen,C,Kebumen,109.6626722,-7.69525797,0.100454,0.977249
732,RS Palang Biro Gombong,Jl. Kartini 37 Gombong Kebumen,C,Kebumen,109.5160748,-7.606312281,0.627838,0.907466
733,RSU PKU Muhamadiyah Gombong,Jl. Yos Sudarso 461 Gombong Kebumen,C,Kebumen,109.502256,-7.608845051,0.627838,0.977249
734,RSUD Muntilan Kab. Magelang,Jl. Kartini No.13 Muntilan,C,Magelang,110.2908124,-7.584110417,1.846376,0.764166
735,RS Medika Mulya,"Jl. Raya Wonogiri-Ngadirojo KM.5,Wonogiri",C,Wonogiri,110.9942133,-7.766951397,0.397762,0.159168
736,RSUD Karanganyar,Jl. Yos Sudarso Karanganyar,C,Karanganyar,110.9509556,-7.596502259,1.272926,0.033154
737,RS PKU Muhammadiyah K.A,Papahan Tasikmadu Karanganyar,C,Karanganyar,110.9393931,-7.611417952,0.773602,0.520342
738,RSU Amal Sehat Sragen,"Jl. Veteran No.35,Sragen",C,Sragen,111.024553,-7.431176628,1.617369,0.402176
739,RS Panti Rahayu,"Jl. R Suprapto No.6,Purwodadi",C,Grobogan,110.9149974,-7.083611997,2.290397,0.300121
740,RS Kristen Tayu,"Jl. Diponegoro 56,Tayu Pati",C,Pati,111.0367442,-6.74857298,0.213381,0.241521
741,RS Islam Pati,"Jl. Raya Pati-Tayu KM.18,Waturroyo Pati",C,Pati,111.0531091,-6.604494966,1.640618,0.695469
742,RS Mitra Bangsa Pati,"Jl. Kol.Sugiyono No.75,Pati",C,Pati,111.0301581,-6.745540791,1.529901,0.194501
743,RSU Islam Sunan Kudus,"Jl. Kudus Permai No.1,Kudus",C,Kudus,110.8149351,-6.798693276,1.955414,0.355433
744,RSU Bhakti Karya Husada,"Jl. Sultan Fatah No. 669/50,Demak",C,Demak,110.6334497,-6.899571519,1.593819,0.300491
745,RSUD Ambarawa,"Jl. Kartini No.10, Ambarawa",C,Semarang,110.422017,-6.956402762,0.365249,0.352148
746,RSUD Ungaran,"Jl. Diponegoro 125,Ungaran",C,Semarang,110.4041717,-7.134374403,2.154011,0.648921
747,RS Ngesti Waluyo,"Jl. Pahlawan Parakan,Temanggung",C,Temanggung,110.1157481,-7.286282599,0.627942,0.493249
748,RSU Dedy Jaya,"Jl. Ahmad Yani No.57,Brebes",C,Brebes,108.9233443,-6.942557253,0.173183,0.639769
749,RS Bhakti Asih,"Jl. P. Diponegoro No.125,Pesantunan Brebes",C,Brebes,109.006404,-6.864656758,2.535892,0.052739
750,RSU Panti Waluyo,"Jl. Jen A Yani No.1,Surakarta",C,Surakarta,110.7906241,-7.559924253,3.156585,0.320876
751,RS Islam Kustati,"Jl. Kapt.Mulyadi No.249,Surakarta",C,Surakarta,110.8309745,-7.580975669,3.116962,0.037267
752,RSU Kasih Ibu,"Jl. Slamet Riyadi 404,Surakarta",C,Surakarta,110.8019993,-7.563188315,2.839605,0.255557
753,RS Panti Wilasa II,"Jl. Dr. Cipto 50,Semarang",C,Kota Semarang,110.4353809,-6.9752603,4.107022,0.368504
754,RS Mitra Siaga,"Jl. Pala Raya No.54,Tegal",C,Kota Tegal,109.1637791,-6.861606733,0.305687,0.471847
755,RSU Mitra Keluarga Tegal,"Jl. Sipelem No.4, Tegal",C,,109.120887,-6.864433803,2.035156,0.779223
756,RS William Booth,"Jl. Let Jen S Parman 5,Semarang",C,Kota Semarang,112.7366561,-7.290451858,5.398394,0.091394
757,RSUD Bendan Kota Pekalongan,"Jl. Sriwijaya No.2,Pekalongan",D,Pekalongan,109.6601082,-6.894568408,2.909594,0.250928
758,RS. Maguan Husada,"Jl. Raya Praci-gribelah Km.6 Suci, Pracimantoro",D,Wonogiri,110.8083045,-8.055308085,0.788455,0.775562
759,RSU Ananda Salatiga,"Jl. Ki Penjawi No.5,Salatiga",D,,110.5036676,-7.343381388,2.851436,0.544206
760,RSU JATI HUSADA,"Jl. Raya Solo - Tawangmangu KM 10,3 Jati, Jateng",D,Karanganyar,110.9165402,-7.573961503,0.555587,0.614981
761,RSUD Gemolong Kabupaten Sragen,jl.DR Soetomo No 792,D,Sragen,110.8266537,-7.397033292,1.031896,0.535464
762,RSU Marga Husada,"Jl. Letjen S.Parman No. 4 Selogiri,Wonogiri",D,Wonogiri,110.8976827,-7.789590253,0.739176,0.553633
763,RS Puri Asih,"Jl. Sudirman No.169,Salatiga",D,Salatiga,110.5078591,-7.338543263,2.929202,0.481174
764,RSUD Ajibarang,"Jl. Raya Pancasan No.1,Ajibarang Banyumas",D,Banyumas,109.0955682,7.403338461,1.129156,0.096415
765,RSK Bedah Wiradadi Husada,"Jl. Menteri Supeno No. 25,Sokaraja-Banyumas",D,Banyumas,109.2455857,-7.415623284,1.849326,0.872977
766,RSUD Simo,"Jl. Kebon Ijo Ds.Simo Kec.Simo, Boyolali",D,Boyolali,110.6755927,-7.437129528,0.119499,0.498016
767,RSUD Kayen Pati,Jl. Rumah Sakit No.1 Kayen Pati,D,Pati,110.9858614,-6.894711099,1.509771,0.405164
768,RSUD Kota Surakarta,"Jl. P.Lumban Tobing No.10,Surakarta",D,Surakarta,110.8258466,-7.564218368,3.182999,0.466676
769,RSU Nurussyifa,"Jl. Kudus - Pati Km.10 Jekulo, Kudus",D,,110.8731175,-6.804784408,2.299677,0.267327
770,RS Budi Rahayu,"Jl. Barito No. 5,Pekalongan",Madya,Kota Pekalongan,109.6699985,-6.882885563,3.210116,0.291657
771,Rumkitban Manokwari,Jl. Brawijaya Kodim 1703 Manokwari,4,Kaimana,134.0787966,-0.861520619,0.610577,0.962423
772,RS AL Manokwari,Jl. Serma Suwandi MaNo.kwari,4,Kaimana,134.0787966,-0.861520619,0.610577,0.962423
773,RSU Manokwari,Jl. Bhayangkara No.I Manokwari,C,Kaimana,133.7745076,-3.660926424,0.481799,0.098251
774,RS Bergerak Waisai,,D,Teluk Wondama,133.1747183,-1.336116121,0,0.814042
775,RSU SCHOLOO Keyen,Jl. Teminabuan - Ayamaru Kampung Keyen - Teminbauan,D,,132.0166675,-1.450001562,0.478052,0.982328
776,RSU Dharma Ibu Ternate,"Jl. Pahlawan Revolusi No.5, Ternate",,Ternate,127.3771557,0.788065847,4.107303,0.078379
777,RS Lanu Morotai,Morotai Kab Maluku Utara,4,Halmahera Tengah,128.400836,2.365669045,0,0.460652
778,Rumkit Tk.IV Ternate,"Jl. Ais Nasution No.2, Ternate",4,Ternate,127.3771557,0.788065847,4.107303,0.078379
779,RSU Ternate,Jl. Tanah Tinggi Ternate,B,Ternate,127.3771557,0.788065847,4.107303,0.078379
780,RSU Kota Tidore Kepulauan,Jl. Sultan mansyur No 11 Indonesiana Tidore maluku Utara,C,Kota Tidore Kpulauan,127.3999997,0.683334941,0.103004,0
781,RSU Daerah Tobelo,Jl. Lanbouw Samsungi Tobelo Halmahera Utara,C,Halmahera Barat,127.8666669,0.599998801,0,0.737877
782,RS Islam Bina Warga,"Jl. Pemuda No.131 Keluarahan Toboleu, Ternate",D,Kota Madya Ternate,127.3771557,0.788065847,4.107303,0.078379
783,RS Medika Harifalm Ternate,"Jl. Zainal Abidin Syah No.25, Ternate",D,Kota Ternate,127.3771557,0.788065847,4.107303,0.078379
784,RSUD Maba,Jl. Trans Halmahera Kota maba,D,Halmahera Timur,127.8666669,0.599998801,0,0.737877
785,RSUD Weda,"Jl. Raya Weda, Kab. Halmahera Tengah",D,Halmahera tengah,127.917349,0.62460858,0,0.697149
786,RSUD Kab. Pulau Morotai,Jl. Puskesmas No.5 Desa Yayasan,D,mOROTAI,128.5143156,2.287260213,0,0.433824
787,RSUD Jailolo,"Jl.Raya Acango-Jailolo,Halmahera Barat",D,Halmahera Barat,127.4652051,1.070790691,0.909253,0.745308
788,RS Bergerak Kab.Halmahera Utara,,D,Halmahera Barat,127.8666669,0.599998801,0,0.737877
789,RSUD Sanana,"Jln. Dr. Sibarani - Falahu, Kep. Sula",D,Kepulauan Sula,125.9369954,-2.23370195,0,0.789612
790,RS St Elizabeth Bantul,Ganjuran Kab Bantul Yogyakarta,,Bantul,110.3300213,-7.885550108,1.517081,0.043619
791,RSU Panti Baktiningsih,"Klepu Sendangmulyo Minggir,Sleman",,Sleman,110.2449996,-7.756089027,1.313515,0.809506
792,RS St Yusup Boro,Boro Banjarasri Kulon Progo,,Kulon Progo,110.1640847,-7.826681056,0.502972,0.979756
793,RSU Kharisma Paramedika,"Jl. Khudori No.34, Wates, Kulon Progo",,DI Yogyakarta,110.1278233,-7.893206384,0.315916,0.946715
794,RSU Rachma Husada,Jl. Parantritis Km.16 Gerselo Patalan Jetis Bantul,,DI Yogyakarta,110.3522633,-7.90959804,1.008413,0.658696
795,RSU Rajawali Citra,"Jl. Pleret Km.2,5, Banjardadap Potorono Banguntapan Bantul",,DI Yogyakarta,110.3300213,-7.885550108,1.517081,0.043619
796,RSU Queen Latifa,Jl. Ring Road Barat - Mlangi - Nogotirto - Sleman,,DI Yogyakarta,110.3458243,-7.696007099,1.617972,0.768308
797,RS Condong Catur,"Jl. Manggis No.6, Gempol, Condong Catur Sleman",,DI Yogyakarta,110.3458243,-7.696007099,1.617972,0.768308
798,RS Puri Husada Yogyakarta,Jl. Palagan Tentara Pelajar No.67 Km.11 Rejodani Ngaglik Sleman,,DI Yogyakarta,110.386304,-7.705727939,1.261322,0.774936
799,RSKB Rizki Amalia Medika,Jl. Brosot - Wates Km.5 Jogahan Bumirejo Lendah Kulon Progo,,Kulon Progo,110.2029369,-7.912130809,0.042815,0.733081
800,RS Nur Rohmah,"Ds.Jamburejo,Ds.Bandung,Kec.Playen,Kab.Gunungkidul",,Gunung Kidul,110.5757534,-7.938301273,0.655156,0.801495
801,RS Panti Rini,"Jl. Solo Km 13,2, Sleman",,Sleman,110.4670004,-7.771762767,0.982961,0.035126
802,RS Lokapala,Jl. Pemuda 1 Sleman Yogyakarta,,Sleman,110.4155201,-7.77804564,1.748453,0.452794
803,RS Panti Nugroho,"Jl. Kaliurang Km.17 Pakem,Sleman",,Sleman,110.417491,-7.669029538,1.191732,0.680806
804,RS Islam Hidayatullah,"Jl. Veteran No.184, Yogyakarta",,Yogyakarta,110.3877978,-7.815403989,5.160503,0.036692
805,RS Happy Land Medical Centre,"Jl. Ipda Tut Harsono No.53,Timoho Yogyakarta",,Yogyakarta,110.3935367,-7.790473155,4.143419,0.041614
806,RS Dr S Harjolukito,Lanud Adisucipto Yogyakarta,2,Yogyakarta,110.4106418,7.790571255,1.926966,0.270021
807,Rumkit DKT Dr. Soetarto/Tk. III Yogyakarta,Jl. Juwadi 19 Yogyakarta,3,Yogyakarta,110.3766412,-7.785750967,5.097055,0.511659
808,RSUP Dr. Sarjito,Jl. Kesehatan Sekip Yogyakarta,A,Sleman,110.3740014,-7.768512082,2.446767,0.046736
809,RSU Panti Rapih,Jl. Cik Ditiro 30 Yogyakarta,B,Kota Yogyakarta,110.3759991,-7.776337805,3.703163,0.512794
810,RSUD Penembahan Senopati,Jl. Dr. Wahidin SH Bantul,B,Bantul,110.33774,-7.892724801,1.588473,0.427483
811,RSUD Sleman,Jl. Bhayangkara 48 Sleman,B,Sleman,110.3419984,-7.68757048,1.522285,0.779715
812,RS Bethesda Yogyakarta,Jl. Jen Sudirman 70 Yogyakarta,B,Yogyakarta,110.3769979,-7.783610598,5.097055,0.511659
813,RSUD Kota Yogyakarta,Jl. Wirosaban No. 1 Yogyakarta,B,Yogyakarta,110.3780012,-7.825860581,3.857491,0.319634
814,Rumah Sakit &quot;JIH&quot;,Jalan Ring Road Utara no. 160 Condongcatur Depok,B,Sleman,110.4030034,-7.759045411,2.070308,0.463031
815,RSUD Wates,Jl. Tentara Pelajar No. 1 Wates,C,Kulon Progo,110.1278233,-7.893206384,0.315916,0.946715
816,RSUD Wonosari,Jl. Taman Bakti Wonosari,C,Gunung Kidul,110.6029985,-7.962050445,1.164071,0.641076
817,RS PKU Muhammadiyah Yogya,Jl. K.H. Ahmad Dahlan 20 Yogyakarta,C,Yogyakarta,110.3620019,-7.800599773,4.885559,0.424301
818,RS Islam Yogyakarta PDHI,"Jl. Solo Km 12,5 Kalasan Yogya",D,Sleman,110.4570566,-7.776886274,1.252623,0.037422
819,RSUD Prambanan,Jl. Prambanan Piyungan Km.6 Sumber Harjo Prambanan Sleman,D,DI Yogyakarta,110.4820365,-7.814463119,1.156937,0.629996
